text,intent
"{practitioner_name}'s open slots for a {appointment_type}.",query_avail
"Find available {appointment_type} times with {practitioner_name}.",query_avail
"List openings for a {appointment_type} with {practitioner_name}.",query_avail
"{practitioner_name} {appointment_type} availability check.",query_avail
"Show {practitioner_name}'s openings for a {appointment_type} this Friday.",query_avail
"{practitioner_name}'s calendar for a {appointment_type} next month.",query_avail
"Free slots with {practitioner_name} for a {appointment_type} this afternoon.",query_avail
"Availability of {practitioner_name} for a {appointment_type} on July 23rd.",query_avail
"{practitioner_name}'s next available {appointment_type}.",query_avail
"List all openings for a {appointment_type} with {practitioner_name}.",query_avail
"Show the booking calendar for a {appointment_type} with {practitioner_name}.",query_avail
"Find an opening for a {appointment_type} with {practitioner_name}.",query_avail
"Display the schedule of {practitioner_name} for a {appointment_type}.",query_avail
"{practitioner_name}'s free times for a {appointment_type} today.",query_avail
"Availability of {practitioner_name} for a {appointment_type}.",query_avail
"List all free times for a {appointment_type} with {practitioner_name}.",query_avail
"{practitioner_name}'s calendar for {appointment_type}s.",query_avail
"Openings with {practitioner_name} for a {appointment_type}.",query_avail
"Find {practitioner_name}'s availability for a {appointment_type}.",query_avail
"List times for a {appointment_type} with {practitioner_name}.",query_avail
"When is {practitioner_name} free for a {appointment_type}.",query_avail
"Schedule for a {appointment_type} with {practitioner_name}.",query_avail
"Check for open times.",query_avail
"What is free.",query_avail
"Times available to book.",query_avail
"Advising session availability.",query_avail
"Office hours with {practitioner_name}.",query_avail
"Openings for a thesis discussion.",query_avail
"Project meeting slots with {practitioner_name}.",query_avail
"Show me free time.",query_avail
"Find available slots.",query_avail
"What times are available for {practitioner_name}.",query_avail
"Availability for a lab session.",query_avail
"{practitioner_name} meeting times.",query_avail
"Show the free slots on the calendar.",query_avail
"Check time slots.",query_avail
"Availability inquiry for {practitioner_name}.",query_avail
"Free time inquiry for a {appointment_type}.",query_avail
"List the available times.",query_avail
"{practitioner_name} free time check.",query_avail
"Check openings for a {appointment_type} with {practitioner_name}.",query_avail
"Display schedule for next week.",query_avail
"Time slots for {practitioner_name}.",query_avail
"Free slots.",query_avail
"Openings in the calendar.",query_avail
"Find availability for a consultation with {practitioner_name}.",query_avail
"Check {practitioner_name}'s free time.",query_avail
"Availability for an oral exam.",query_avail
