intent,user_utterance,origin,new_intent,label
how_busy,how long will it take to get a table at the cheesecake factory?,parrot,avail,0
yes,it's certainly positive,parrot,book,1
goodbye,farewell!,original,bye,2
yes,i'll say yes,parrot,book,1
no,"no, that is incorrect",original,cancel,3
greeting,whats up?,parrot,greet,4
no,it's no,parrot,cancel,3
goodbye,thank you for having this conversation,parrot,bye,2
no,FALSE,lambada,cancel,3
yes,i can tell you,parrot,book,1
goodbye,goodbye!,original,bye,2
goodbye,see ya,lambada,bye,2
how_busy,how long will the wait be at chili's around 6pm,lambada,avail,0
greeting,whats up?,parrot,greet,4
goodbye,good bye,original,bye,2
yes,it is true,original,book,1
how_busy,how busy is ihop?,parrot,avail,0
greeting,hey bs,lambada,greet,4
goodbye,later,original,bye,2
no,that's no,parrot,cancel,3
yes,"yes, please",parrot,book,1
no,no that's a false statement,parrot,cancel,3
how_busy,how long is olive garden usually busy at noon?,parrot,avail,0
goodbye,great talk,lambada,bye,2
no,i'd prefer not to answer,parrot,cancel,3
thank_you,i'm happy with my response,parrot,bye,2
yes,i agree,original,book,1
yes,"yeah, that's it",lambada,book,1
thank_you,"awesome, thanks",original,bye,2
greeting,"hey, ai",original,greet,4
no,no that is wrong,original,cancel,3
greeting,how you feel?,parrot,greet,4
yes,yeah yeah,lambada,book,1
goodbye,afterward,parrot,bye,2
yes,positive,parrot,book,1
date,in 14 days?,parrot,avail,0
thank_you,i appreciate that,original,bye,2
no,that’s not correct,original,cancel,3
no,that is very false,lambada,cancel,3
greeting,what's up?,parrot,greet,4
date,which date is it,lambada,avail,0
goodbye,fairwell,original,bye,2
yes,indeed,original,book,1
reminder_update,let me remember,parrot,resched,5
goodbye,greetings,parrot,bye,2
yes,yeap,original,book,1
yes,i have to say yes,parrot,book,1
no,it's a negation,parrot,cancel,3
goodbye,farewell!,original,bye,2
thank_you,thanks again,original,bye,2
yes,obviously,parrot,book,1
meeting_schedule,what's on my agenda today?,parrot,avail,0
greeting,hiya,original,greet,4
no,nothing,parrot,cancel,3
thank_you,very grateful,parrot,bye,2
yes,oh yes,original,book,1
yes,a real statement,parrot,book,1
goodbye,goodbye to you,original,bye,2
meeting_schedule,when is my meeting with john planned for?,parrot,avail,0
thank_you,thank you!,original,bye,2
yes,that's right,original,book,1
goodbye,greetings,parrot,bye,2
goodbye,thank you for the good call,parrot,bye,2
goodbye,later,original,bye,2
no,negating,parrot,cancel,3
greeting,tell me the way things are going?,parrot,greet,4
yes,positive,parrot,book,1
calendar,what do i have scheduled on my calendar for march 18th?,lambada,avail,0
yes,okay,original,book,1
goodbye,regards,original,bye,2
yes,you're right,original,book,1
goodbye,very nice conversation,parrot,bye,2
goodbye,goodbye!,original,bye,2
no,is my falsehood?,parrot,cancel,3
cancel_reservation,abrogate the reservation for dinner,parrot,cancel,3
yes,what's that going to be,lambada,book,1
yes,good yes,lambada,book,1
no,that's not acceptable,parrot,cancel,3
reminder_update,make a reminder please,parrot,resched,5
date,a year?,parrot,avail,0
goodbye,thanks for a good call,lambada,bye,2
cancel_reservation,take away my reservation at 4 pm in the steakhouse please,parrot,cancel,3
yes,approved,original,book,1
greeting,hello,original,greet,4
goodbye,take a break,parrot,bye,2
schedule_meeting,how does scheduling a meeting work,original,book,1
no,naw,original,cancel,3
goodbye,goodbyes,parrot,bye,2
greeting,good morning,parrot,greet,4
reminder_update,i need a reminder to buy cookies,parrot,resched,5
greeting,hey there fellow,original,greet,4
cancel_reservation,i am not in need of my reservation anymore,original,cancel,3
goodbye,adios!,original,bye,2
goodbye,tootles,original,bye,2
how_busy,how long will it take to get seated at ihop,lambada,avail,0
greeting,ahoy hoy,original,greet,4
calendar,how do i plan my calendar for april 30th?,parrot,avail,0
thank_you,thanks so much!,original,bye,2
yes,yup,original,book,1
goodbye,fairwell,original,bye,2
greeting,hiya,original,greet,4
reminder_update,let me remember,parrot,resched,5
date,what is the name of the month in 8 days?,lambada,avail,0
how_busy,how long will it take for me to sit in the red lobster restaurant,parrot,avail,0
no,no way!,original,cancel,3
how_busy,list the current seating times in this restaurant?,parrot,avail,0
no,no!,original,cancel,3
goodbye,i want it now,parrot,bye,2
thank_you,appreciated,original,bye,2
thank_you,okay thank you,parrot,bye,2
calendar_update,make sure march 1 is clear on my calendar,lambada,resched,5
how_busy,how long does the restaurant wait before i go?,parrot,avail,0
yes,absolutely!,original,book,1
goodbye,you're done,parrot,bye,2
thank_you,thanks a million,original,bye,2
meeting_schedule,do i have any meetings from 1 to 5?,lambada,avail,0
goodbye,glad we talked,parrot,bye,2
greeting,whats new?,parrot,greet,4
no,that's completely wrong,parrot,cancel,3
goodbye,bye-bye,original,bye,2
goodbye,this conversation was wonderful,parrot,bye,2
reminder_update,please remind me of the food deposit,parrot,resched,5
no,that's wrong,original,cancel,3
no,hell nah,original,cancel,3
yes,agreed,original,book,1
goodbye,fairwell,original,bye,2
greeting,hello ai,parrot,greet,4
greeting,hiya,original,greet,4
yes,that's correct,original,book,1
greeting,how's idy doing?,parrot,greet,4
yes,is true,parrot,book,1
no,i don't think it's right,parrot,cancel,3
greeting,well hello,original,greet,4
goodbye,glad to talk,parrot,bye,2
greeting,welcome,parrot,greet,4
date,what'll it be tomorrow?,parrot,avail,0
how_busy,how long will it take to wait for a table in tomato soup,parrot,avail,0
yes,sure,original,book,1
greeting,how's everything?,parrot,greet,4
no,yes that's false,lambada,cancel,3
yes,definitely,original,book,1
schedule_meeting,is it possible to schedule a meeting room on thursday?,parrot,book,1
cancel_reservation,i do not want my reservation anymore,original,cancel,3
greeting,heller,original,greet,4
goodbye,good-bye,parrot,bye,2
greeting,how things go?,parrot,greet,4
calendar_update,can you change the date of the doctor's appointment event in my calendar from april 1 to april 3?,parrot,resched,5
calendar_update,add some events to my calendar,lambada,resched,5
goodbye,goodnight,original,bye,2
goodbye,good-bye,parrot,bye,2
thank_you,i appeciate it,parrot,bye,2
thank_you,you're a good help,parrot,bye,2
goodbye,tootles,original,bye,2
goodbye,ai goodbye,original,bye,2
no,hell nah,original,cancel,3
schedule_meeting,please help me set up a meeting please,parrot,book,1
date,list the current date?,parrot,avail,0
yes,"yes, that's it",original,book,1
no,i'm afraid not,parrot,cancel,3
greeting,how's idy?,parrot,greet,4
date,what month today?,parrot,avail,0
thank_you,thanks!,original,bye,2
goodbye,the conversation was good,parrot,bye,2
no,nope,original,cancel,3
greeting,whats up,original,greet,4
thank_you,you've tried,parrot,bye,2
no,nothing,parrot,cancel,3
date,is the date?,parrot,avail,0
how_busy,how busy will chili's be at 5 pm,lambada,avail,0
greeting,hey what's up?,parrot,greet,4
greeting,hello there,original,greet,4
yes,"yes, please",parrot,book,1
goodbye,my way,parrot,bye,2
cancel_reservation,what do i need to cancel my reservation?,lambada,cancel,3
yes,yeap,original,book,1
schedule_meeting,please schedule a meeting with bob brown at noon the day after tomorrow,parrot,book,1
thank_you,okay thank you,parrot,bye,2
goodbye,goodbye to yours,parrot,bye,2
goodbye,farewell,original,bye,2
yes,definitely,original,book,1
thank_you,thanks for coming by,lambada,bye,2
cancel_reservation,please just trash the reservation i made please,parrot,cancel,3
no,not good,parrot,cancel,3
goodbye,as regards,parrot,bye,2
yes,seems true,parrot,book,1
no,that's a lie,parrot,cancel,3
greeting,hey fellows,parrot,greet,4
no,but that's not factual,parrot,cancel,3
no,that's false,original,cancel,3
goodbye,great chat goodbye,lambada,bye,2
goodbye,on the highway,parrot,bye,2
yes,you got it,original,book,1
goodbye,i'm out,parrot,bye,2
how_busy,tell me how busy the chili hole is,parrot,avail,0
how_busy,how long will the wait be at iman's house?,parrot,avail,0
goodbye,good conversation,parrot,bye,2
how_busy,how busy will tatsurai be at 8 pm,lambada,avail,0
date,show me the date,original,avail,0
date,what year?,parrot,avail,0
yes,agreed,original,book,1
goodbye,bye now,original,bye,2
yes,sure thing,original,book,1
how_busy,how long will it take me to sit in the chipotle?,parrot,avail,0
goodbye,bye,original,bye,2
cancel_reservation,get the salad cancelled,lambada,cancel,3
how_busy,how busy is the restaurant,lambada,avail,0
schedule_meeting,how are meetings scheduled?,parrot,book,1
date,what year?,parrot,avail,0
yes,huh huh,parrot,book,1
how_busy,is mcdonalds busy?,parrot,avail,0
goodbye,sayonara,original,bye,2
no,that’s actually wrong,original,cancel,3
greeting,aloha,original,greet,4
no,negating,parrot,cancel,3
meeting_schedule,when's the meeting?,parrot,avail,0
goodbye,goodbye goodbye,parrot,bye,2
goodbye,goodbye then,parrot,bye,2
goodbye,say goodbye,parrot,bye,2
goodbye,the conversation was nice,parrot,bye,2
yes,yeah,original,book,1
yes,facts,original,book,1
no,no,lambada,cancel,3
goodbye,tootles,original,bye,2
goodbye,later gator!,original,bye,2
calendar_update,delete event scheduled for april 14,lambada,resched,5
yes,i want it,parrot,book,1
yes,ok,original,book,1
greeting,welcome,parrot,greet,4
goodbye,farewell!,original,bye,2
reminder_update,please remember me later,parrot,resched,5
no,the answer is no,original,cancel,3
greeting,nice day,lambada,greet,4
yes,yup,original,book,1
goodbye,tootles,original,bye,2
date,what date will it be in 9 days?,parrot,avail,0
yes,yeap,original,book,1
greeting,how are things for you?,parrot,greet,4
yes,confirm,original,book,1
goodbye,later!,original,bye,2
date,what's today,original,avail,0
goodbye,later!,original,bye,2
yes,huh,parrot,book,1
no,but it's totally wrong,parrot,cancel,3
greeting,how's ai doing?,parrot,greet,4
how_busy,how busy is michel's at 5:30,lambada,avail,0
goodbye,goodbyes,parrot,bye,2
goodbye,", goodbye",lambada,bye,2
yes,approved,original,book,1
thank_you,thank you ai,parrot,bye,2
yes,a fact,parrot,book,1
calendar,tell me what's on my calendar for may 1st?,parrot,avail,0
goodbye,later,original,bye,2
how_busy,how busy will the red robin be at 5pm,lambada,avail,0
yes,yay,lambada,book,1
greeting,heyo,original,greet,4
reminder_update,can you make a reminder?,parrot,resched,5
how_busy,how long will the wait time be at the cheese cake factory,original,avail,0
greeting,salutations!,original,greet,4
no,negation,parrot,cancel,3
thank_you,okay thank you,parrot,bye,2
goodbye,see ya,lambada,bye,2
greeting,ahoy there,lambada,greet,4
greeting,hi ai,original,greet,4
how_busy,what's red robin's like at 6pm?,parrot,avail,0
greeting,what's happening,original,greet,4
how_busy,how busy is mcdonalds right now?,parrot,avail,0
no,no thank you,original,cancel,3
how_busy,how long will the restaurant last after noon?,parrot,avail,0
greeting,heller,original,greet,4
no,ill pass,original,cancel,3
no,negatory?,parrot,cancel,3
no,hell nah,original,cancel,3
yes,definitely,original,book,1
reminder_update,i want to add a reminder to my list,parrot,resched,5
thank_you,thanks please,original,bye,2
thank_you,thank you,original,bye,2
goodbye,have to run,parrot,bye,2
goodbye,i have to get out of here,parrot,bye,2
yes,yup,original,book,1
greeting,"why, hello bandit",original,greet,4
thank_you,thanks for cooperating,parrot,bye,2
thank_you,thanks,original,bye,2
goodbye,goodbye goodbye,parrot,bye,2
thank_you,well done,parrot,bye,2
date,please give me the date for today?,parrot,avail,0
date,in 100 days?,parrot,avail,0
yes,thats right,original,book,1
how_busy,how long is the wait in this restaurant,parrot,avail,0
greeting,heller,original,greet,4
greeting,what's new?,parrot,greet,4
reminder_update,please remind me of my resume,parrot,resched,5
yes,approved,original,book,1
goodbye,bye bye,lambada,bye,2
greeting,how's the ai?,parrot,greet,4
thank_you,thanks for that!,original,bye,2
goodbye,fairwell?,parrot,bye,2
thank_you,thank you,original,bye,2
greeting,how's everything,original,greet,4
cancel_reservation,cancellation of reservation for pizza at 4 pm,parrot,cancel,3
goodbye,i'm gone,parrot,bye,2
schedule_meeting,how does a meeting plan work?,parrot,book,1
yes,i think it's true,original,book,1
calendar,what's the day for march 29th?,parrot,avail,0
no,that's incorrect!,original,cancel,3
cancel_reservation,can you cancel a reservation for me?,parrot,cancel,3
calendar_update,delete the events on 1 june,parrot,resched,5
yes,ok,original,book,1
schedule_meeting,i need you to set up a meeting with john at 11am,parrot,book,1
calendar,please read my calendar,parrot,avail,0
greeting,what's new,lambada,greet,4
greeting,so how's everything going?,parrot,greet,4
thank_you,thanks please,original,bye,2
greeting,"hello, ai",original,greet,4
date,what is tomorrow?,parrot,avail,0
yes,sure,original,book,1
greeting,whats up,original,greet,4
no,false for sure,original,cancel,3
greeting,how's idy doing,lambada,greet,4
how_busy,how long will i have to wait for shokudo to come,parrot,avail,0
calendar_update,i must remove an event from my calendar?,parrot,resched,5
yes,accepted,original,book,1
meeting_schedule,when is my meeting with leroy?,parrot,avail,0
date,what is today's date?,original,avail,0
greeting,salutations,parrot,greet,4
how_busy,check how busy the chilies are at 10 am,parrot,avail,0
no,it would be wrong,parrot,cancel,3
yes,that is affirmative,original,book,1
calendar,can you tell me what's on my calendar for march 1?,parrot,avail,0
